# wavelength calibrated_flux
3738.189035926636 -6.684143262397503e-19
3740.240661316887 -4.477894871876842e-19
3742.292286707138 2.798545352224695e-18
3744.3439120973885 -3.1664816034469927e-18
3746.3955374876396 2.52114175716431e-18
3748.4471628778906 2.9169524946798963e-18
3750.498788268141 -9.178915250645279e-19
3752.5504136583922 5.600643614587498e-19
3754.6020390486433 -2.1690146349450545e-19
3756.653664438894 -4.349974216971153e-19
3758.705289829145 -7.490938979299268e-20
3760.756915219396 1.4851331141604167e-18
3762.8085406096466 2.6095460244775243e-18
3764.8601659998976 4.091825246141135e-18
3766.911791390148 9.598238409768057e-19
3768.9634167803993 5.483813160978645e-19
3771.0150421706503 3.485052412950116e-18
3773.066667560901 1.8667999556015747e-18
3775.118292951152 -4.967323669785958e-19
3777.169918341403 2.682224772452913e-18
3779.2215437316536 -4.3073902440540205e-19
3781.2731691219046 -1.027707519158438e-19
3783.3247945121557 -4.146292936798933e-20
3785.3764199024063 -5.203437920600237e-19
3787.4280452926573 -1.9371254690509185e-19
3789.4796706829084 2.739074828583055e-20
3791.531296073159 1.374158526039725e-18
3793.58292146341 -2.5738974129551225e-19
3795.634546853661 -9.887960868572797e-20
3797.6861722439116 1.2332435335477585e-18
3799.7377976341627 8.492563933834233e-19
3801.7894230244137 -4.800225265972067e-19
3803.8410484146643 9.585842781760308e-19
3805.8926738049154 -1.343194162775545e-18
3807.9442991951664 4.943844939221294e-20
3809.995924585417 1.6195012224953982e-19
3812.047549975668 1.981517255195833e-18
3814.099175365919 -1.413205623041849e-18
3816.1508007561697 -1.0930161720070252e-18
3818.2024261464207 2.747353669004262e-18
3820.2540515366713 -1.2020190280172461e-18
3822.3056769269224 5.3674398762057635e-19
3824.3573023171734 -6.320092768821887e-19
3826.408927707424 -4.463556167103867e-19
3828.460553097675 -4.579395933920242e-19
3830.512178487926 1.456831174224992e-18
3832.5638038781767 1.4030257957126819e-18
3834.6154292684278 -5.496388585620806e-19
3836.667054658679 9.230357772479888e-20
3838.7186800489294 -6.116732397103916e-19
3840.7703054391804 1.682052796211058e-18
3842.8219308294315 -1.9360295974674055e-19
3844.873556219682 -4.221902620879733e-20
3846.925181609933 -7.98860250008871e-19
3848.976807000184 4.1171280495865013e-19
3851.028432390435 -3.1542808457316427e-19
3853.080057780686 5.921652996275378e-19
3855.1316831709364 -4.962256200767421e-19
3857.1833085611875 4.895189196045584e-19
3859.2349339514385 1.155431436950623e-18
3861.286559341689 4.17446798887766e-18
3863.33818473194 -1.0679381514485047e-18
3865.389810122191 8.306362217484098e-19
3867.441435512442 1.2488178008017264e-18
3869.493060902693 -1.2117550509738241e-18
3871.544686292944 -2.375896965285068e-19
3873.5963116831945 -4.540710219369688e-19
3875.6479370734455 -5.846104400542608e-19
3877.6995624636966 -1.5889342126001587e-18
3879.751187853947 -1.0467122193984488e-18
3881.802813244198 6.141239613601918e-19
3883.8544386344493 9.677980669494648e-19
3885.9060640247 2.1813351370791222e-18
3887.957689414951 9.456506851101353e-19
3890.009314805202 1.1130583518160293e-18
3892.0609401954525 3.7689910413355235e-19
3894.1125655857036 1.0722936448279535e-18
3896.1641909759546 3.561067346046722e-19
3898.215816366205 -9.084844488932072e-19
3900.2674417564563 6.380019476494995e-19
3902.3190671467073 1.9022635168320106e-18
3904.370692536958 -6.890536145288406e-20
3906.422317927209 8.890753871771177e-19
3908.47394331746 7.730716684276891e-19
3910.5255687077106 1.0806733822814847e-18
3912.5771940979616 5.738198450377088e-19
3914.6288194882127 -2.989178829230435e-19
3916.6804448784633 1.315165470411951e-19
3918.7320702687143 -7.96137723133906e-20
3920.783695658965 3.0937084055496316e-19
3922.835321049216 -8.850914027402899e-19
3924.886946439467 4.630719158778952e-20
3926.9385718297176 1.0509978937182246e-18
3928.9901972199686 -3.1759297146599804e-21
3931.0418226102197 2.0747805965548804e-19
3933.0934480004703 -6.618241699382054e-19
3935.1450733907213 1.885620326617379e-18
3937.1966987809724 -1.8824630393103427e-18
3939.248324171223 7.562114696767516e-20
3941.299949561474 4.677912652373829e-19
3943.351574951725 -5.379235580597753e-19
3945.4032003419757 1.6423334002046785e-18
3947.4548257322267 4.1345589594816525e-19
3949.5064511224773 -1.2847653208557106e-19
3951.5580765127283 -1.4840598461602474e-18
3953.6097019029794 2.8646992672179905e-19
3955.66132729323 3.0111003529233296e-19
3957.712952683481 8.868775826212102e-19
3959.764578073732 3.206353038354169e-19
3961.8162034639827 -1.363701552164153e-19
3963.8678288542337 -1.842785500466248e-19
3965.9194542444848 -6.141984044240772e-19
3967.9710796347354 -4.1057336610785386e-19
3970.0227050249864 1.3627662253742614e-19
3972.0743304152375 1.79238750823277e-19
3974.125955805488 7.644481785631165e-19
3976.177581195739 -1.1116593782509883e-18
3978.22920658599 -4.783502292760206e-19
3980.2808319762407 3.6038701227079977e-19
3982.332457366492 5.232610231074585e-19
3984.384082756743 4.271049126377279e-19
3986.4357081469934 4.167359419745909e-19
3988.4873335372445 1.782126013176224e-19
3990.5389589274955 9.590489045814214e-19
3992.590584317746 3.0734521653125847e-19
3994.642209707997 1.8278560971353068e-18
3996.693835098248 1.525333736867558e-18
3998.745460488499 -8.683733004429451e-19
4000.79708587875 2.096514945518818e-18
4002.848711269001 9.895339185332642e-19
4004.9003366592515 5.875263054874151e-19
4006.9519620495025 -4.402054916754893e-19
4009.0035874397536 1.1118016139022538e-18
4011.055212830004 2.2148277914825676e-18
4013.106838220255 1.5329997379999598e-18
4015.158463610506 7.857038743407837e-19
4017.210089000757 1.5936542844432148e-18
4019.261714391008 8.103808992517131e-19
4021.3133397812585 1.328630787049912e-18
4023.3649651715095 1.7249747889081029e-18
4025.4165905617606 1.8975601535437858e-18
4027.468215952011 2.800312138608306e-18
4029.519841342262 2.565822314267656e-19
4031.5714667325133 9.45039541978538e-19
4033.623092122764 2.5407987959184233e-18
4035.674717513015 8.115815025120059e-19
4037.726342903266 6.911307164119894e-19
4039.7779682935166 1.1988646565639584e-18
4041.8295936837676 1.4668241497282692e-18
4043.881219074018 -1.5217546194637623e-18
4045.9328444642692 1.0788616376373885e-18
4047.9844698545203 1.183040063172482e-18
4050.036095244771 7.134236914885545e-19
4052.087720635022 3.090914716761746e-18
4054.139346025273 1.3057802465188845e-18
4056.1909714155236 1.3341824450600964e-18
4058.2425968057746 7.267243160593463e-19
4060.2942221960257 5.875652773065496e-19
4062.3458475862762 -1.035375697559348e-19
4064.3974729765273 -2.87830881391177e-19
4066.4490983667783 5.706754875576466e-20
4068.500723757029 1.2876551679621345e-18
4070.55234914728 1.5146298439867704e-18
4072.603974537531 1.4133843288861996e-18
4074.6555999277816 1.168773924642824e-18
4076.7072253180327 2.8567391780660702e-18
4078.7588507082837 1.0789168983182403e-18
4080.8104760985343 2.446414885358324e-18
4082.8621014887854 1.7887524664108636e-18
4084.9137268790364 9.729527383802538e-19
4086.965352269287 3.0930941175408885e-19
4089.016977659538 3.2898101298369406e-18
4091.068603049789 2.5443088167681684e-19
4093.1202284400397 6.829468883757745e-19
4095.1718538302907 7.4340748707549545e-19
4097.223479220542 1.6021827643853653e-20
4099.275104610792 2.110297832192779e-18
4101.326730001043 2.497621117965076e-19
4103.3783553912945 7.043128813141262e-19
4105.429980781545 8.313086049141897e-19
4107.481606171796 2.7913939275582647e-18
4109.533231562047 1.6933897456287911e-18
4111.584856952298 3.732259376190487e-18
4113.636482342548 2.499753415178341e-18
4115.6881077328 2.8932994670133195e-18
4117.73973312305 1.4167573708916348e-18
4119.791358513301 2.289741306041136e-18
4121.8429839035525 4.845701724682206e-19
4123.894609293803 1.063330270829615e-18
4125.946234684054 3.483812112030227e-18
4127.997860074305 1.6761241758061697e-18
4130.049485464556 2.364737455334076e-18
4132.101110854806 1.5968834652500269e-18
4134.152736245058 2.1619571137535834e-18
4136.2043616353085 2.176684252673747e-18
4138.255987025559 2.044369392268003e-18
4140.307612415811 3.0435820926226103e-18
4142.359237806061 3.1581965299161154e-18
4144.410863196312 3.2410760890503046e-18
4146.462488586563 2.6249093133773512e-18
4148.514113976814 1.5297482050430704e-18
4150.565739367064 1.5299485617862526e-18
4152.617364757316 -2.6472497500539313e-19
4154.668990147567 7.458007771119373e-19
4156.720615537817 1.8300266154237677e-18
4158.772240928069 1.1316266225878601e-18
4160.823866318319 -1.441082583982571e-18
