# wavelength calibrated_flux
4938.126185522514 4.610279523936487e-16
4941.706590698496 4.747427597198796e-16
4945.286995874479 4.846320450893014e-16
4948.867401050461 3.699174154289846e-16
4952.447806226443 4.423346998571784e-16
4956.028211402426 4.2028694515878003e-16
4959.608616578408 4.0604431843293156e-16
4963.1890217543905 4.055186968588311e-16
4966.769426930373 4.455574116622119e-16
4970.349832106355 4.325950601295894e-16
4973.930237282338 4.4096381135949007e-16
4977.510642458321 4.592085411570921e-16
4981.091047634303 4.3658948753508464e-16
4984.671452810286 3.6225389085141847e-16
4988.251857986268 3.883401227132735e-16
4991.8322631622505 4.2094501545590843e-16
4995.412668338233 4.010574155015737e-16
4998.993073514215 4.2886932827615924e-16
5002.573478690198 4.1543687327268144e-16
5006.15388386618 3.5207554292816856e-16
5009.734289042162 4.1848268963847886e-16
5013.314694218145 4.0145120048278394e-16
5016.895099394127 3.9737455275986444e-16
5020.4755045701095 4.1011725102529696e-16
5024.055909746092 3.7101181998990816e-16
5027.636314922074 4.0644693965444464e-16
5031.216720098057 4.511714690315245e-16
5034.797125274039 3.672475379857226e-16
5038.377530450022 4.399314014475716e-16
5041.957935626005 3.823811577388348e-16
5045.538340801987 3.6838337888320105e-16
5049.118745977969 4.303262565378589e-16
5052.699151153952 4.479874571585766e-16
5056.279556329934 4.47353335553801e-16
5059.8599615059165 4.3161374875390214e-16
5063.440366681899 4.535947780386406e-16
5067.020771857881 4.3188268828016296e-16
5070.601177033864 4.2940767916608427e-16
5074.181582209846 4.1590667544630683e-16
5077.761987385828 3.7050194946681236e-16
5081.342392561811 4.59762657511567e-16
5084.922797737793 4.145772290118738e-16
5088.503202913776 3.9504705132880234e-16
5092.083608089759 4.838994260632996e-16
5095.664013265741 3.730361333684983e-16
5099.244418441724 4.807596347486384e-16
5102.824823617706 4.646972006959106e-16
5106.405228793688 4.511196754934521e-16
5109.985633969671 4.716616342164868e-16
5113.566039145653 4.065015138909876e-16
5117.1464443216355 4.2462318067127316e-16
5120.726849497618 4.824849526514433e-16
5124.3072546736 5.240653553366076e-16
5127.887659849583 3.8669704727297716e-16
5131.468065025565 4.1487172560929206e-16
5135.048470201547 4.735771374344046e-16
5138.62887537753 4.103578229210604e-16
5142.209280553512 4.354073449967105e-16
5145.7896857294945 5.221327356255451e-16
5149.370090905477 4.3973550719801344e-16
5152.950496081459 4.361795956792155e-16
5156.530901257442 4.591318252567625e-16
5160.111306433425 4.3624360094600067e-16
5163.691711609407 4.570685476235046e-16
5167.27211678539 4.43626664240411e-16
5170.852521961372 4.626643556773012e-16
5174.432927137354 4.882531111477307e-16
5178.013332313337 4.513331978927146e-16
5181.593737489319 4.510719077028692e-16
5185.174142665302 4.853187220098455e-16
5188.754547841284 3.894484659810846e-16
5192.334953017266 4.871349181449256e-16
5195.915358193249 4.2380729217621487e-16
5199.495763369231 4.292321478280462e-16
5203.0761685452135 4.850645933171561e-16
